name,categorie,tier,score_excel,ats,slug,careers_url,statut
Meanings Capital Partners,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Meridiam,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Montagu Private Equity,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Mubadala Capital France,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Nordic Capital,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Oaktree Capital Management,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Opengate Capital,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
PAI Partners,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Parquest Capital,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Partners Group,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Pemberton Asset Management,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Peninsular Capital Management,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Perceva,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Permira,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
PSG Equity,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Qualium Investissement,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Seven2,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Seven2 (ex-Apax),Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Silverfleet Capital,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Silverfleet Capital SAS,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Sparring Capital,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Stonepeak,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Summit Partners,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
TA Associates,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
The Carlyle Group,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Tikehau Capital,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
TowerBrook Capital Partners,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Triton Partners,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Vauban Infrastructure Partners,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Verdane,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Vitruvian Partners,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
Weinberg Capital Partners,Fonds PE / Infra large cap,elite,32.4,,,,a_enrichir
